N_sim,segsID,transition,trans_no,avg_time,SE_time,avg_edge.length,avg_Nchanges
23,20,other->megaherbivore,40,217.70018195052518,0.017491426469144703,4463.8672699999925,28
23,20,other->megaherbivore,41,217.70127718923905,0.022392370257612322,4463.8672699999925,28
24,13,other->megaherbivore,1,119.59555551931354,3.305449898021403,56.30579239999996,1
24,16,other->megaherbivore,2,150.1711407946233,1.46467512456169,208.8814072999994,1
24,17,other->megaherbivore,3,162.1981276686743,1.154372751310821,366.343938399999,2
24,17,other->megaherbivore,4,171.76816008661015,1.026925240036174,522.4124583999989,2
24,18,other->megaherbivore,5,179.83210453414506,1.0862383754897444,683.1101030999988,2
24,18,other->megaherbivore,6,188.06729230270736,0.862093406605287,893.8793039999986,2
24,19,other->megaherbivore,7,192.2282312873358,0.634991791841948,1091.489715499998,5
24,19,other->megaherbivore,8,195.17613161337906,0.4159258405169259,1317.035475999997,5
24,19,other->megaherbivore,9,197.34821139162707,0.33616010775057403,1449.8606389999966,5
24,19,other->megaherbivore,10,199.50431165103024,0.35969131218812983,1631.0664177999959,5
24,19,other->megaherbivore,11,201.41733422534418,0.38252815671611684,1821.3380539999953,5
24,20,other->megaherbivore,12,202.9093857069675,0.4071596694621531,2227.335664199995,27
24,20,other->megaherbivore,13,204.8550406720616,0.38105422274547535,2626.0106513999945,27
24,20,other->megaherbivore,14,206.53948160675418,0.35568686904993474,3202.055263199994,27
24,20,other->megaherbivore,15,208.13125242458946,0.29996936563666016,3695.8077875999934,27
24,20,other->megaherbivore,16,209.3833282685979,0.2527545813341728,4052.4068329999927,27
24,20,other->megaherbivore,17,210.3928673282633,0.21781619342814104,4271.8523993999925,27
24,20,other->megaherbivore,18,211.40079406291846,0.1723133182966047,4436.436574199993,27
24,20,other->megaherbivore,19,212.1897425976981,0.1589479318757128,4436.436574199993,27
24,20,other->megaherbivore,20,212.93698727235594,0.14587205849601206,4463.8672699999925,27
24,20,other->megaherbivore,21,213.48083816650026,0.13174497920034967,4463.8672699999925,27
24,20,other->megaherbivore,22,214.00516351797603,0.11544785738227142,4463.8672699999925,27
24,20,other->megaherbivore,23,214.49095513342473,0.09834393609948083,4463.8672699999925,27
24,20,other->megaherbivore,24,214.83303138236784,0.09076382614338854,4463.8672699999925,27
24,20,other->megaherbivore,25,215.15400849891785,0.0881670328289754,4463.8672699999925,27
24,20,other->megaherbivore,26,215.48477078612524,0.08385003844845496,4463.8672699999925,27
24,20,other->megaherbivore,27,215.76082697799012,0.07910928590523161,4463.8672699999925,27
24,20,other->megaherbivore,28,216.0131954713684,0.07299334799036156,4463.8672699999925,27
24,20,other->megaherbivore,29,216.27442756847992,0.06857185527958339,4463.8672699999925,27
24,20,other->megaherbivore,30,216.50185512704826,0.06287540267908008,4463.8672699999925,27
24,20,other->megaherbivore,31,216.74146825346077,0.055410051868144905,4463.8672699999925,27
24,20,other->megaherbivore,32,216.89537945062227,0.05011188489086557,4463.8672699999925,27
24,20,other->megaherbivore,33,217.07829062187747,0.04350451709417168,4463.8672699999925,27
24,20,other->megaherbivore,34,217.2482251019982,0.03965130303946783,4463.8672699999925,27
24,20,other->megaherbivore,35,217.37500758845218,0.032489087795600724,4463.8672699999925,27
24,20,other->megaherbivore,36,217.47213648395896,0.027546365137280884,4463.8672699999925,27
24,20,other->megaherbivore,37,217.5512837626785,0.02386138959395905,4463.8672699999925,27
24,20,other->megaherbivore,38,217.62077888689066,0.019272248195165098,4463.8672699999925,27
25,13,other->megaherbivore,1,119.59555551931354,3.305449898021403,56.30579239999996,1
25,14,other->megaherbivore,2,150.1711407946233,1.46467512456169,208.8814072999994,2
25,14,other->megaherbivore,3,162.1981276686743,1.154372751310821,366.343938399999,2
25,15,other->megaherbivore,4,171.76816008661015,1.026925240036174,522.4124583999989,1
25,16,other->megaherbivore,5,179.83210453414506,1.0862383754897444,683.1101030999988,1
25,17,other->megaherbivore,6,188.06729230270736,0.862093406605287,893.8793039999986,3
25,17,other->megaherbivore,7,192.2282312873358,0.634991791841948,1091.489715499998,3
25,17,other->megaherbivore,8,195.17613161337906,0.4159258405169259,1317.035475999997,3
25,18,other->megaherbivore,9,197.34821139162707,0.33616010775057403,1449.8606389999966,3
25,18,other->megaherbivore,10,199.50431165103024,0.35969131218812983,1631.0664177999959,3
25,18,other->megaherbivore,11,201.41733422534418,0.38252815671611684,1821.3380539999953,3
25,19,other->megaherbivore,12,202.9093857069675,0.4071596694621531,2227.335664199995,6
25,19,other->megaherbivore,13,204.8550406720616,0.38105422274547535,2626.0106513999945,6
25,19,other->megaherbivore,14,206.53948160675418,0.35568686904993474,3202.055263199994,6
25,19,other->megaherbivore,15,208.13125242458946,0.29996936563666016,3695.8077875999934,6
25,19,other->megaherbivore,16,209.3833282685979,0.2527545813341728,4052.4068329999927,6
25,19,other->megaherbivore,17,210.3928673282633,0.21781619342814104,4271.8523993999925,6
25,20,other->megaherbivore,18,211.40079406291846,0.1723133182966047,4436.436574199993,23
25,20,other->megaherbivore,19,212.1897425976981,0.1589479318757128,4436.436574199993,23
25,20,other->megaherbivore,20,212.93698727235594,0.14587205849601206,4463.8672699999925,23
25,20,other->megaherbivore,21,213.48083816650026,0.13174497920034967,4463.8672699999925,23
25,20,other->megaherbivore,22,214.00516351797603,0.11544785738227142,4463.8672699999925,23
25,20,other->megaherbivore,23,214.49095513342473,0.09834393609948083,4463.8672699999925,23
25,20,other->megaherbivore,24,214.83303138236784,0.09076382614338854,4463.8672699999925,23
25,20,other->megaherbivore,25,215.15400849891785,0.0881670328289754,4463.8672699999925,23
25,20,other->megaherbivore,26,215.48477078612524,0.08385003844845496,4463.8672699999925,23
25,20,other->megaherbivore,27,215.76082697799012,0.07910928590523161,4463.8672699999925,23
25,20,other->megaherbivore,28,216.0131954713684,0.07299334799036156,4463.8672699999925,23
25,20,other->megaherbivore,29,216.27442756847992,0.06857185527958339,4463.8672699999925,23
25,20,other->megaherbivore,30,216.50185512704826,0.06287540267908008,4463.8672699999925,23
25,20,other->megaherbivore,31,216.74146825346077,0.055410051868144905,4463.8672699999925,23
25,20,other->megaherbivore,32,216.89537945062227,0.05011188489086557,4463.8672699999925,23
25,20,other->megaherbivore,33,217.07829062187747,0.04350451709417168,4463.8672699999925,23
25,20,other->megaherbivore,34,217.2482251019982,0.03965130303946783,4463.8672699999925,23
25,20,other->megaherbivore,35,217.37500758845218,0.032489087795600724,4463.8672699999925,23
25,20,other->megaherbivore,36,217.47213648395896,0.027546365137280884,4463.8672699999925,23
25,20,other->megaherbivore,37,217.5512837626785,0.02386138959395905,4463.8672699999925,23
25,20,other->megaherbivore,38,217.62077888689066,0.019272248195165098,4463.8672699999925,23
25,20,other->megaherbivore,39,217.66752436159544,0.01785198380353722,4463.8672699999925,23
25,20,other->megaherbivore,40,217.70018195052518,0.017491426469144703,4463.8672699999925,23
26,15,other->megaherbivore,1,119.59555551931354,3.305449898021403,56.30579239999996,1
26,16,other->megaherbivore,2,150.1711407946233,1.46467512456169,208.8814072999994,2
26,16,other->megaherbivore,3,162.1981276686743,1.154372751310821,366.343938399999,2
26,18,other->megaherbivore,4,171.76816008661015,1.026925240036174,522.4124583999989,2
26,18,other->megaherbivore,5,179.83210453414506,1.0862383754897444,683.1101030999988,2
26,19,other->megaherbivore,6,188.06729230270736,0.862093406605287,893.8793039999986,6
26,19,other->megaherbivore,7,192.2282312873358,0.634991791841948,1091.489715499998,6
26,19,other->megaherbivore,8,195.17613161337906,0.4159258405169259,1317.035475999997,6
26,19,other->megaherbivore,9,197.34821139162707,0.33616010775057403,1449.8606389999966,6
26,19,other->megaherbivore,10,199.50431165103024,0.35969131218812983,1631.0664177999959,6
26,19,other->megaherbivore,11,201.41733422534418,0.38252815671611684,1821.3380539999953,6
26,20,other->megaherbivore,12,202.9093857069675,0.4071596694621531,2227.335664199995,25
26,20,other->megaherbivore,13,204.8550406720616,0.38105422274547535,2626.0106513999945,25
26,20,other->megaherbivore,14,206.53948160675418,0.35568686904993474,3202.055263199994,25
26,20,other->megaherbivore,15,208.13125242458946,0.29996936563666016,3695.8077875999934,25
26,20,other->megaherbivore,16,209.3833282685979,0.2527545813341728,4052.4068329999927,25
26,20,other->megaherbivore,17,210.3928673282633,0.21781619342814104,4271.8523993999925,25
26,20,other->megaherbivore,18,211.40079406291846,0.1723133182966047,4436.436574199993,25
26,20,other->megaherbivore,19,212.1897425976981,0.1589479318757128,4436.436574199993,25
26,20,other->megaherbivore,20,212.93698727235594,0.14587205849601206,4463.8672699999925,25
26,20,other->megaherbivore,21,213.48083816650026,0.13174497920034967,4463.8672699999925,25
26,20,other->megaherbivore,22,214.00516351797603,0.11544785738227142,4463.8672699999925,25
26,20,other->megaherbivore,23,214.49095513342473,0.09834393609948083,4463.8672699999925,25
26,20,other->megaherbivore,24,214.83303138236784,0.09076382614338854,4463.8672699999925,25
26,20,other->megaherbivore,25,215.15400849891785,0.0881670328289754,4463.8672699999925,25
26,20,other->megaherbivore,26,215.48477078612524,0.08385003844845496,4463.8672699999925,25
26,20,other->megaherbivore,27,215.76082697799012,0.07910928590523161,4463.8672699999925,25
26,20,other->megaherbivore,28,216.0131954713684,0.07299334799036156,4463.8672699999925,25
26,20,other->megaherbivore,29,216.27442756847992,0.06857185527958339,4463.8672699999925,25
26,20,other->megaherbivore,30,216.50185512704826,0.06287540267908008,4463.8672699999925,25
26,20,other->megaherbivore,31,216.74146825346077,0.055410051868144905,4463.8672699999925,25
26,20,other->megaherbivore,32,216.89537945062227,0.05011188489086557,4463.8672699999925,25
26,20,other->megaherbivore,33,217.07829062187747,0.04350451709417168,4463.8672699999925,25
26,20,other->megaherbivore,34,217.2482251019982,0.03965130303946783,4463.8672699999925,25
26,20,other->megaherbivore,35,217.37500758845218,0.032489087795600724,4463.8672699999925,25
26,20,other->megaherbivore,36,217.47213648395896,0.027546365137280884,4463.8672699999925,25
27,13,other->megaherbivore,1,119.59555551931354,3.305449898021403,56.30579239999996,2
27,13,other->megaherbivore,2,150.1711407946233,1.46467512456169,208.8814072999994,2
27,15,other->megaherbivore,3,162.1981276686743,1.154372751310821,366.343938399999,3
27,15,other->megaherbivore,4,171.76816008661015,1.026925240036174,522.4124583999989,3
27,15,other->megaherbivore,5,179.83210453414506,1.0862383754897444,683.1101030999988,3
27,17,other->megaherbivore,6,188.06729230270736,0.862093406605287,893.8793039999986,2
27,17,other->megaherbivore,7,192.2282312873358,0.634991791841948,1091.489715499998,2
27,18,other->megaherbivore,8,195.17613161337906,0.4159258405169259,1317.035475999997,4
27,18,other->megaherbivore,9,197.34821139162707,0.33616010775057403,1449.8606389999966,4
27,18,other->megaherbivore,10,199.50431165103024,0.35969131218812983,1631.0664177999959,4
27,18,other->megaherbivore,11,201.41733422534418,0.38252815671611684,1821.3380539999953,4
27,19,other->megaherbivore,12,202.9093857069675,0.4071596694621531,2227.335664199995,6
27,19,other->megaherbivore,13,204.8550406720616,0.38105422274547535,2626.0106513999945,6
27,19,other->megaherbivore,14,206.53948160675418,0.35568686904993474,3202.055263199994,6
27,19,other->megaherbivore,15,208.13125242458946,0.29996936563666016,3695.8077875999934,6
27,19,other->megaherbivore,16,209.3833282685979,0.2527545813341728,4052.4068329999927,6
27,19,other->megaherbivore,17,210.3928673282633,0.21781619342814104,4271.8523993999925,6
27,20,other->megaherbivore,18,211.40079406291846,0.1723133182966047,4436.436574199993,27
27,20,other->megaherbivore,19,212.1897425976981,0.1589479318757128,4436.436574199993,27
27,20,other->megaherbivore,20,212.93698727235594,0.14587205849601206,4463.8672699999925,27
27,20,other->megaherbivore,21,213.48083816650026,0.13174497920034967,4463.8672699999925,27
27,20,other->megaherbivore,22,214.00516351797603,0.11544785738227142,4463.8672699999925,27
27,20,other->megaherbivore,23,214.49095513342473,0.09834393609948083,4463.8672699999925,27
27,20,other->megaherbivore,24,214.83303138236784,0.09076382614338854,4463.8672699999925,27
27,20,other->megaherbivore,25,215.15400849891785,0.0881670328289754,4463.8672699999925,27
27,20,other->megaherbivore,26,215.48477078612524,0.08385003844845496,4463.8672699999925,27
27,20,other->megaherbivore,27,215.76082697799012,0.07910928590523161,4463.8672699999925,27
27,20,other->megaherbivore,28,216.0131954713684,0.07299334799036156,4463.8672699999925,27
27,20,other->megaherbivore,29,216.27442756847992,0.06857185527958339,4463.8672699999925,27
27,20,other->megaherbivore,30,216.50185512704826,0.06287540267908008,4463.8672699999925,27
27,20,other->megaherbivore,31,216.74146825346077,0.055410051868144905,4463.8672699999925,27
27,20,other->megaherbivore,32,216.89537945062227,0.05011188489086557,4463.8672699999925,27
27,20,other->megaherbivore,33,217.07829062187747,0.04350451709417168,4463.8672699999925,27
